,_c0,exhibition_name,poster_link,exhibition_description,exhibition_place,start_period,end_period,place
119,370,책거리展-만화가의 책상,https://www.sejongpac.or.kr/cmmn/file/imageSrc.do?fileStreCours=1a889e8777af7e578d96596fbd2e16e9bb6d9ec4bb1f6894357ee3bde7a73807&streFileNm=1af19f5202cab7fcedb934636f1ba71e13e27cc0df58d0800d2b142a2917067e,이번 전시의 주제인 책거리 는 민화의 한 갈래로 세기부터 세기 초반까지 정조의 적극적인 장려로 인해 크게 유행한 그림 양식을 말합니다 그 양식 속에는 궁과 상류계층에서 선호하던 그림 책장에 책과 문방사우 도자기 청동장식품 등을 담은 책가도 와 민간에서 책장 없이 책과 출세와 복을 부르는 상징물들을 함께 표현한 책거리 로 나눌 수 있습니다 한국여성만화가협회의 소속된 여성작가들로 구성된 창작민화소모임인 형 형 색 색 은 우리의 아름다운 민화를 만화가의 시선으로 지금을 살고 있는 작가들의 작업실 풍경과 각자의 소망과 염원을 담아 재해석을 통해 새롭고 친근하게 표현하고자 하였습니다 작가소개 김 은 경 년 만화세상 그 녀석 나 그리고 우렁이 로 데뷔 년 조은세상 꽃돌이 싫어 년 만두 코믹스 동물학적 정원 년 인터넷 포털사이트 유혹하는 젠틀맨 외 다수 연재중 김 혜 녕 년 세주문화 단행본 동상이몽 으로 데뷔 년 대원씨아이 단행본 년 한국문화예술교육진흥원 만화애니메이션 분야 예술 강사 활동 중 이 희 정 년 대원씨아이 내게 너무 사랑스러운 뚱땡이 로 데뷔 년 한일 만화작가 연하엽서 교류전 년 모바일기기 어플리케이션 소녀의 다락방 제작 및 배포 년 웹진 코르사주에서 차말똥고도 연재 전 하 리 시와 시학 등단 년 글수레 초록이의 환경 여행 년 북하우스 와룡동의 아이들 년 웹 소설 홍길동 바람의 노래 연재 현재 세브란스 병원 월간지에서 만평 연재 중 하 경 아 년 대원씨아이 월간 마인에서 밥 짓기 로 데뷔 년 세주문화 숨은 사랑 찾기 년 웹진 환 한국문화예술교육진흥원 만화애니메이션 분야 예술 강사 활동 중 창작민화소모임 형형색색 정기전시회 책거리전 만화가의 책상 년 월 일 월 일 세종문화회관 광화랑,광화랑,2018-08-15,2018-08-15,세종문화회관
120,188,벽화 속 한글과 마음 전,https://www.sejongpac.or.kr/cmmn/file/imageSrc.do?fileStreCours=faec0c25744c22e99776405c0fa72802d544d2f92bf9272d66cf58365b71029d&streFileNm=5d6d0e7d40e919117ba97d55b106b24b24078277cccf491c8dad44ed96e373b4,맑은 고딕 너의 마음은 공공미술가 황성보의 마음발견 프로젝트 제 회 벽화 속 한글과 마음 전 세종문화회관 세종이야기 전시장 화 일 맑은 고딕 맑은 고딕 맑은 고딕 칠판처럼 쓸 수 있는 작가의 그림에 마음을 전해요 맑은 고딕 맑은 고딕 맑은 고딕 맑은 고딕 살다 보면 마음속에 있는 말들을 제대로 표현하지 못하고 맑은 고딕 지나칠 때가 있다 맑은 고딕 그리고 그런 말들이 겹겹이 남아 마음이 무거워질 때도 많다 맑은 고딕 맑은 고딕 맑은 고딕 맑은 고딕 사람들이 대상의 존재가 곁에 있을 때 좀 더 많이 표현하고 맑은 고딕 이야기를 전해 주었으면 좋겠다는 생각에서 맑은 고딕 그림은 시작되었다 맑은 고딕 맑은 고딕 맑은 고딕 맑은 고딕 마음을 옮겨 놓을 수 있도록 열어둔 그림 맑은 고딕 그것이 매개체가 되어 온전히 드러난 감정의 발현들은 맑은 고딕 수많은 생각을 낳게 하고 때로는 깊은 울림을 전하곤 한다 맑은 고딕 맑은 고딕 맑은 고딕 맑은 고딕 나는 맑은 고딕 내가 그린 하나의 이미지 속에 예상치 못한 방법으로 등장하고 맑은 고딕 홀연히 사라지는 사람들의 모습과 이야기들을 오래도록 맑은 고딕 기억하고 싶다 맑은 고딕 맑은 고딕 맑은 고딕 맑은 고딕 황 성 보 맑은 고딕 회 개인전 세종문화회관 한글갤러리 맑은 고딕 회 개인전 세종문화회관 한글갤러리 맑은 고딕 회 개인전 세종문화회관 한글갤러리 맑은 고딕 회 개인전 세종문화회관 한글갤러리 맑은 고딕 회 개인전 세종문화회관 한글갤러리 맑은 고딕 기획전 종로소방서 인천서부소방서 맑은 고딕 회 개인전 광명시민회관 미술관 맑은 고딕,세종이야기전시장,2021-05-18,2021-05-18,세종문화회관
121,100,어린작가초대전,https://www.sejongpac.or.kr/cmmn/file/imageSrc.do?fileStreCours=1a889e8777af7e578d96596fbd2e16e9bb6d9ec4bb1f6894357ee3bde7a73807&streFileNm=4b84a1e9a3559fd8c13fd201944d57acc5632144e692c09ac9214915f513b19a,바퀴달린그림책 어린작가초대전 년 바퀴달린 그림책 어린작가 초대전 바퀴다린 그림책의 어린작가초대전은 어린작가들이 만든 그림책 전시회입니다 목 월 장소 세종문화회관 미술관 관 주최 도서출판 바퀴달린그림책 문의 본전시는 무료전시입니다 너무나 자상한 어른들 어른들은 아이를 위해 책을 만들고 읽어주고 알아야 할 것을 골라주며 또한 이것들을 쉽게 익히도록 배려합니다 하지만 이것이 잘못이란걸 어른들은 모릅니다 어른들은 아이들을 가르쳐야 하는 대상으로만 생각하기 때문입니다 그러나 아이들은 우리가 생각하는 만큼 미숙하지 않습니다 어떤 면에서는 어른들보다 더 특별한 능력으로 새롭고 귀한 것을 발견하기도 합니다 바퀴달린 그림책은 아이들만의 어눌하지만 솔직한 표현과 내용을 존중합니다 가성의 책에서 느낄 수 없는 색다른 감동이 있고 아이들만의 세상을 가늠할 수 잇기 때문입니다 정확하고 세련된 어휘와 선과 색으로 무장한 우리로서는 이미 흉내 낼 수 없는 자연스러움과 진솔함을 갖고 있는 수 많은 책들 그냥 둘 수 없어 몇 권이나마 이렇게 소개하기로 했습니다 아이들의 소박한 이야기로 꾸며진 그림책들 바퀴달린 그림책은 아이들이 자신의 생각을 자유롭게 나누고 어른들은 아이들의 세상을 사늠하고 이해하는 소중한 통로가 되길 바랍니다,세종미술관2관,2018-04-05,2018-04-05,세종문화회관
122,74,행복팔경(幸福八景),https://www.sejongpac.or.kr/cmmn/file/imageSrc.do?fileStreCours=faec0c25744c22e99776405c0fa72802f4f5b84aadc34467f295a51a3901836f&streFileNm=98a4cdad56c4cf314366ab84d7f205dbad9dfc36288f971a5bacb5e178aa54a2,행복팔경 한국화여성작가회 회 정기전 행복을 꿈꾸는 여덟 가지 감성제안 글 김윤섭 아이프 미술경영연구소 대표 미술사 박사 사회적인 제약과 사상적 굴레로 인하여 규방문화의 범주에서 벗어나지 못하던 한국의 여성화가들이 선구자적 선배들의 각고의 노력에 힘입어 구각을 탈피하고 이제 그 후배인 우리들은 오늘의 한국화 한국 미술문화의 발전에 기여하게 됨으로써 그 중추적 역할을 담당하게 되었다 년 월 일에 창립한 한국화여성작가회 의 선언문 중의 한 부분이다 단체명에서도 짐작되듯 명실공이 국내 미술계에서 한국화를 전공한 여성작가 를 대표하는 유서 깊은 단체이다 창립한 이후 해마다 회원의 국내외 정기전 다양한 주제의 학술세미나 예술나눔 자선행사 등을 끊임없이 지속하고 있다 그것도 매번 최소 명 이상에서 명에 육박하는 작가들이 참여했다 낮게는 대 젊은 작가부터 높게는 대 원로작가까지 한 자리에서 작품을 통해 세대 간 소통에 힘써 왔다는 점은 한국 미술문화 발전의 근간을 다지는데 적지 않은 역할이었다고 여겨진다 올해 회 정기전인 한국화여성작가회 에도 명의 빛나는 주역들이 손을 맞잡았다 한 명도 빠짐없이 한국 미술계에 큰 활기를 돋게 하는 값진 주인공들이다 한국화 장르라는 공통점을 제외하곤 서로 다른 제각각의 감성이 돋보이는 작품들이 눈길을 사로잡는다 이번 전시에는 전통과 현대 답습과 실험 발산과 절제 등 서로 상반된 개념이 적절하게 조화로운 균형을 유지한 작품들이 즐비하다 여러 지역적 연고와 연령대가 다르다보니 같은 작품의 소재라도 색다른 관점과 감성으로 해석한 차이점이 흥미로움을 자아낸다 이번 한국화여성작가회 의 정기전 주제는 행복팔경 이며 부제는 행복을 꿈꾸는 여덟 가지 감성제안 이다 어떤 지역에서 뛰어나게 아름다운 여덟 군데의 경치를 일컬어 팔경 이라는 한다 그만큼 사방이 아름답지 않은 곳이 없다는 뜻이기도 하다 이번 한국화여성작가회 주제 및 전시제목으로 행복팔경 을 제안한 것도 같은 이유이다 명의 참여 작가들의 제각각 감성과 작품이 지닌 다양한 미학적 담론 및 조형적 깊이가 바로 행복팔경을 만들어내는 원천이다 또한 그림이 우리의 일상생활에 얼마나 긍정적이고 행복한 에너지를 충전해줄 수 있을 것인가 가늠할 수 있는 소중한 장이 될 것이다,세종미술관1관,2020-10-07,2020-10-07,세종문화회관
123,34,SEJONG COLLECTOR STORY Ⅲ,https://www.sejongpac.or.kr/cmmn/file/imageSrc.do?fileStreCours=faec0c25744c22e99776405c0fa728025746e86da26dab237842b36734504098&streFileNm=0b0c9a3ac145de88a0acc4615089c0ac4200ca52209836814279c2c87fbc6042,고딕 맑은 고딕 맑은 세종문화회관은 세종 컬렉터 스토리 전시를 매년 시리즈로 개최해왔고 올해로 회째를 맞는다 이번에 소개할 컬렉터는 법조인이자 내설악 백공미술관을 설립한 정상림이다 고딕 맑은 고딕 맑은 고딕 맑은 고딕 맑은 컬렉터 정상림은 풍부한 예술 식견과 자신만의 심미안으로 오랫동안 많은 그림을 수집했다 고딕 맑은 고딕 맑은 고딕 맑은 고딕 맑은 컬렉터가 작품을 소장하는 이유는 다양하겠지만 작가를 후원하는 역할도 중요한 축을 차지하곤 한다 컬렉터 정상림 역시 지역 작가를 비롯한 여러 작가의 작품을 소장하고 후원하는데 애썼다 그 중 화가 박종용은 그가 후원하는 작가이자 평생 예술적 동반자였다 고딕 맑은 고딕 맑은 고딕 맑은 고딕 맑은 이번 전시에는 컬렉터의 시선과 미감이 담긴 컬렉션 뿐만 아니라 컬렉터가 후원했던 박종용 작가의 작품도 함께 소개하고자 한다 고딕 맑은 고딕 맑은 고딕 맑은 고딕 맑은 이번 세종문화회관 미술관 컬렉터 전시를 통해 미술품 수집 작가 후원 등 미술계의 선순환 기능을 활성화하는데 일조하고 많은 이들에게 예술적 영감이 되길 기대한다 그리고 코로나로 지친 시민들에게 문화 향유 기회를 제공하여 잠시나마 치유의 시간이 되길 그리고 그 시간을 딛고 앞으로 굳건히 묵묵히 나아가길 바래본다 고딕 맑은 고딕 맑은 고딕 맑은 고딕 맑은 이번 전시는 크게 두 파트로 나누었다 첫번째 파트는 어느 컬렉터의 이야기 라는 주제로 컬렉터 정상림의 소장품 중 근현대 서양화 작가의 작품 여점을 소개한다 두 번째 파트에서는 어느 화가의 이야기 라는 주제로 컬렉터 정상림이 가까이 교류하며 적극적인 후원을 하였던 화가 박종용의 최근작 결 시리즈 작품을 중심으로 여점을 소개한다 고딕 맑은 고딕 맑은 고딕 맑은 고딕 맑은 고딕 맑은 참여작가 강익중 권옥연 김두환 김영덕 김원 김환기 김훈 김흥수 남관 류경채 문서진 박상옥 박영선 박영하 박종용 변종하 신성희 오지호 오치균 윤중식 윤형근 이두식 이득찬 이림 이배 이수억 이숙자 이우환 이응노 임직순 장이석 전혁림 천칠봉 최병소 최영림 최예태 표승현 하인두 고딕 맑은 고딕 맑은 고딕 맑은 고딕 맑은 작 품 수 점 고딕 맑은 고딕 맑은 고딕 맑은,세종미술관1관세종미술관2관,2021-11-09,2021-11-09,세종문화회관
124,420,상상유희,https://www.sejongpac.or.kr/cmmn/file/imageSrc.do?fileStreCours=1a889e8777af7e578d96596fbd2e16e9bb6d9ec4bb1f6894357ee3bde7a73807&streFileNm=bbde2202c15dc48a4c68e54055d8986ac5632144e692c09ac9214915f513b19a,세종문화회관 야외공간 큐레이팅 상상유희 기간 목 목 장소 야외전시 시간 시간 연령 전연령 관람가능 티켓 무료 참여작가 나인성 이일 문의 현대인의 삶은 늘 녹록치 않다 급변하는 사회를 치열하게 살아가면서 활력을 잃어가며 무기력해지기 십상이다 현실이라는 고단하고 지루한 일상 가운데 휴식과 일탈을 꿈꾸기도 한다 상상유희 전에서는 같은 시대를 살아가는 두 명의 작가들이 제작한 낭만과 정서적 충만감이 가득한 작품들을 만나볼 수 있다 나인성 작가는 아이와 같은 상상력과 감성을 바탕으로 독특하고 흥미로운 조형물을 생산하고 있다 잠수함 로봇이라는 가상의 캐릭터는 반복적인 일상에서 벗어나 유쾌한 모험이 펼쳐지는 낙원으로 관람객을 이끈다 이일 작가는 거인 나무꾼 코끼리의 형태에 밝은 색채의 꽃 나뭇잎 나비 등의 이미지를 더하여 동화적인 분위기를 자아내는 상상의 존재들을 만들어냈다 그리고 이들을 펼쳐놓은 공간을 무지개 숲 이라는 유토피아로 명명하고 도심 속 유희의 공간으로 재창조한다 이번 전시에서 작가들의 섬세한 감성이 짙게 배인 작품들을 감상하며 지친 몸과 마음이 잠시 쉬어갈 수 있기를 기대한다 나인성 개인전 갤러리 서울 브라운핸즈 부산 울산북구예술회관 울산 갤러리 서울 단체전 광화문국제아트페스티벌 세종문화회관 미술관 서울 외 다수 이일 개인전 갤러리 자운제 고양 도시괴물 갤러리 이즈 서울 인전 이일 정문경 메이크샵 아트 스페이스 파주 단체전 꿈꾸는 다락전 행복북구문화재단 대구 외 다수 세종문화회관 야외공간 큐레이팅 상상유희,야외전시,2019-09-05,2019-09-05,세종문화회관
125,130,세종·충무공 이야기 상설체험 프로그램,https://www.sejongpac.or.kr/cmmn/file/imageSrc.do?fileStreCours=1a889e8777af7e578d96596fbd2e16e9bb6d9ec4bb1f6894357ee3bde7a73807&streFileNm=759374ee5628e4d52bb6ef5a1794476bbf9bb594ce511223d9a883d811f64b0a,세종충무공이야기 홈페이지 바로가기 세종이야기 충무공이야기 활동지 퀴즈 풀기 활동지의 안내를 따라 전시관을 구석구석 둘러보고 스스로 퀴즈를 풀어보는 자기 주도형 교육 프로그램에 참여해 보세요 퀴즈 정답을 맞히신 모든 분들께 기념 도장을 찍어드립니다 활동지 판매처 충무공 안내데스크 활동지 가격 권당 원 세종이야기 충무공이야기 체험지 세종 충무공이야기에서 제작한 체험지를 활용하여 창의력을 키우는 예술 체험에 참여해 보세요 체험지 판매처 충무공 안내데스크 체험지 가격 권 세트 원 나만의 한글배지 만들기 세종대왕과 이순신 장군 캐릭터 및 한글의 조합으로 나만의 배지를 만들어 보는 체험 프로그램 체험 신청장소 충무공 안내데스크 체험지 가격 원 체험장소 교육실 또는 세종이야기 체험장소 한글로 우리가족 문패만들기 문패의 의미에 대해 알아보고 우리 기족의 한글 문패를 만들어 보는 프로그램 체험 신청장소 충무공 안내데스크 체험지 가격 원 체험장소 교육실 또는 세종이야기 체험장소,세종이야기전시장,2016-01-01,2016-01-01,세종문화회관
126,5,제 38회 중앙미술대전,https://www.sejongpac.or.kr/cmmn/file/imageSrc.do?fileStreCours=1a889e8777af7e578d96596fbd2e16e9bb6d9ec4bb1f6894357ee3bde7a73807&streFileNm=71b5d29acebc976d297bd205497dbcbcde5cbd7454ee136f6ab7ce3225eff447,제 회 중앙미술대전 선정작가전 김정옥 김현주 박경진 박석민 범진용 신승주 안유리 이지연 전형산 정지현 제 회 중앙미술대전 선정 작가전 한국 미술계를 이끌어 갈 인의 중앙미술대전 선정작가 년 한국미술의 새 시대를 연다 라는 가치로 시작된 중앙미술대전은 세계 미술의 흐름을 담아내고 한국 미술의 현재를 보여주는 미술공모전으로 자리매김 하였습니다 올해도 참신하고 실력있는 젊은 작가 명이 미술관에서 한국미술의 파세대 주역이 될 중앙미술대전 올해의 선정작가를 만나보시기 바랍니다 전시작가 김정옥 김현주 박경진 박석민 범진용 신승주 안유리 이지연 전형산 정지현 이상 명 가나다순 주최 중앙일보 후원 협찬 본 전시는 후원으로 입장료가 무료입니다,세종미술관1관세종미술관2관,2016-10-10,2016-10-10,세종문화회관
127,150,(사)한국카툰협회 정기카툰전 한글+카툰‘ㅎㅎㅎ’,https://www.sejongpac.or.kr/cmmn/file/imageSrc.do?fileStreCours=781044a3701ef5bcc58321ebc26f8e08bb6d9ec4bb1f6894357ee3bde7a73807&streFileNm=233e8eac51e28e679ec982b89840efe8c5632144e692c09ac9214915f513b19a,세종충무공이야기 홈페이지 바로가기 사 한국카툰협회 정기카툰전 한글 카툰 한글은 우리에게 어떤 의미일까 창조적이고 유일한 언어로 우리 민족을 하나로 묶어 한민족을 형성시켰으며 세계의 어떤 언어체계보다 쉽고 위대하다 인간이 표현하고자하는 말의 대부분을 표현할 수 있다는 점에서 한글의 위대함은 극대화된다 이러한 한글의 수많은 우수한 가치 중의 하나는 민초들에게 진정한 웃음을 주었다는데 이번 전시는 주목하고자 한다 세종대왕은 한글을 통해 민초들에게 기쁨을 안겨주었다 자신의 무지를 깨닫고 진실하고 올바른 길을 갈 수 있게 해주어 하하하 천대 받던 아녀자들끼리도 서로의 삶의 버거움을 나눌 수 있어서 호호호 위정자들을 비판하며 스트레스의 배출구로 다양한 소통을 할 수 있게 해줘서 히히히 이렇게 한글은 민초들에게 기쁨과 웃음을 주는 존재였다 한글이 민초들에게 웃음을 주었다면 한 컷 만화인 카툰은 어떠한가 한 컷 안에 유머와 풍자를 담는 카툰은 한 컷이라는 공간 안에 함축적인 형상으로 독자들에게 다가가 순식간에 웃음을 만들어낸다 좋은 카툰은 한순간에 그 의미를 알아차리고 빙그레 웃을 수 있는 카툰이다 한글과 마찬가지로 카툰은 기쁨과 웃음을 주는 존재임에 틀림이 없다 웃음을 준 한글과 웃음을 마음껏 담을 수 있는 카툰의 결합을 전은 보여주고자 한다 한글과 카툰의 결합은 언어와 그림의 결합이라는 의미를 넘어 하하하 호호호 히히히 웃을 수 있는 웃음의 공통분모를 찾아가는 여정이다 한글이 주는 언어형상에 카툰이 주는 그림형상이 만드는 새로운 웃음의 아름다움에 취해보길 바란다 이번 전시제목의 는 한글과 하하하 한글과 호호호 한글과 히히히 라는 다양한 의미를 담았다 전시명칭 사 한국카툰협회 정기카툰전 한글 카툰 전시일정 년 월 일 화 월 일 월 전시장소 세종문화회관 세종이야기 내 한글갤러리 전시참여작가 강길수 강대영 강일구 공보혁 똥개김동범 김마정 김정겸 김평현 김흥수 박현숙 백영욱 사이로 서서영 성문기심차섭 양창규 오성수 유재영 이대열 이동규 이소풍 이신영 이영우 전지훈 정은향 조관제 조항리 최덕현 허어 홍성일 명 주최 사 한국카툰협회 사 한국카툰협회 소개 사 한국카툰협회는 한 컷 만화인 카툰을 그리는 작가들의 모임으로 개별적으로 활동하던 카툰단체인 서울카툰회 카툰펀치 엎어컷 배꼽툰 등이 년 정식으로 단체를 발족하여 창립되었다 유머와 풍자로 표현되는 한 컷 만화인 카툰의 보급과 회원들의 권익을 위해 다양한 카툰전시회와 교육사업을 진행하고 있다 한국만화 주년 기념전과 노인인식개선을 위한 카툰전 매년마다 그 해의 띠를 소재로 한 연하엽서카툰전 등 수많은 전시회와 행사로 독자들을 만나고 있다 주소 경기도 부천시 원미구 상동 한국만화영상진흥원 만화비즈니스센터 사무동 호 홈페이지 사 한국카툰협회 정기카툰전 한글 카툰 민초들에게 기쁨과 웃음을 주는 한글과 한 장면에 웃음과 재치를 담은 카툰의 만남 한글과 하하하 카툰과 호호호 모두가 히히히 일시 년 월 일 화 월 일 월 장소 세종문화회관 세종이야기 내 한글갤러리 주최 사 한국카툰협회 전시참여작가 강길수 강대영 강일구 공보혁 똥개김동범 김마정 김정겸 김평현 김흥수 박현숙 백영욱 사이로 서서영 성문기심차섭 양창규 오성수 유재영 이대열 이동규 이소풍 이신영 이영우 전지훈 정은향 조관제 조항리 최덕현 허어 홍성일 명,세종이야기전시장,2017-06-20,2017-06-20,세종문화회관
128,106,2019 기획전시 `취미의 발견-이웃집 예술가`,https://www.sejongpac.or.kr/cmmn/file/imageSrc.do?fileStreCours=1a889e8777af7e578d96596fbd2e16e9bb6d9ec4bb1f6894357ee3bde7a73807&streFileNm=f370f93448ea5988f1c30db3370b75cb13e27cc0df58d0800d2b142a2917067e,세종문화회관 미술관 기획전 취미의 발견 이웃집 예술가 는 손으로 만드는 행위를 통해 즐거움을 찾은 명의 작가와 그들의 작품을 소개하는 자리다 참여 작가들의 직업 연령대 삶의 방식이 모두 다른 까닭에 그들의 작품은 재료도 제작방식도 모두 다르다 이들을 하나의 전시로 묶을 수 있는 것은 취미 라는 단어 하나뿐 돈벌이와는 별개로 순전히 재미있어서 취미로 하는 작가 취미로 시작했다가 이젠 직업이 된 작가 취미교육을 통해 예술의 즐거움을 가르치는 작가 취미와 창작활동이 하나가 된 작가 그들이 한자리에 모였다 그들은 작품을 통해 우리에게 묻는다 당신의 취미는 뭐에요 나에게 맞는 취미 를 찾고 즐기는 동안 자연스레 파악되는 것이 자신만의 취미 다 취미가 생활에 활력을 불어넣는 단계를 넘어 삶의 목표와 방향까지도 바꾸어놓는 것은 그런 이유다 취미의 발견 이웃집 예술가 에 함께한 명 작가의 작품을 마주하는 동안 해보면 재미있겠는데 라는 생각이 고개를 들 것이다 이 전시가 전달하고자 하는 이야기도 다르지 않다 나만의 취미 를 찾으려면 어떤 취미 든 일단 해보자 참여작가 인 김보헌 김성희 김윤아 김정언 김태기 김하림 김형언 노은미 박진경 박희석 신기영 이명헌 이봉주 이선아 이영희 이지은 이진아 전희경 조민영 주요섭 채형진 황수민 취미의 발견 이웃집 예술가 세종문화회관 미술관 관 김보헌 김성희 김윤아 김정언 김태기 김하림 김형언 노은미 박진경 박희석 신기영 이명헌 이봉주 이선아 이영희 이지은 이진아 전희경 조민영 주요섭 채형진 황수민,세종미술관2관,2018-12-26,2018-12-26,세종문화회관
129,306,제25회 환경사랑 꿈나무 그림잔치,https://www.sejongpac.or.kr/cmmn/file/imageSrc.do?fileStreCours=1a889e8777af7e578d96596fbd2e16e9bb6d9ec4bb1f6894357ee3bde7a73807&streFileNm=25429f1b8b324b2bc0dc2b339589067a13e27cc0df58d0800d2b142a2917067e,환경사랑 꿈나무 그림잔치 세종문화회관 광화랑 광화문 네거리 지하보도 안 수 화 가정의 달 월을 맞아 재 세종문화회관 광화랑에서는 월 수 일 부터 월 화 일 까지 총 일간 제 회 환경사랑 꿈나무 그림잔치 을 진행한다 이번 전시는 한국미니스톱 주 과 함께 공동주최로 열리며 주제는 나는 우리 마을 환경지킴이 로 환경보호의 중요성을 자유롭게 그림으로 표현한 어린이 공모 작품 점 중 수상작 총 점을 소개한다 이번 전시는 환경사랑의 중요성을 창의적이고 흥미롭게 그림으로 표현한 어린이들의 시각을 확인하고 가정의 달을 맞아 광화문을 찾는 시민들에게 환경보호의 중요성을 다시 한 번 공유하고자 기획되었다 수상작 중 최우수상을 수상하는 학생 명에게는 각각 상장과 환경장학금 만원이 수여되며 소속 초등학교에 나무를 한 그루씩 심어주는 뜻 깊은 행사를 갖는다 또한 세종문화회관 사장상 명에게는 각각 상장과 환경장학금 만원이 수여되며 꿈나무상 명에게는 상장과 함께 소정의 상품이 지급된다 광화랑은 광화문 사거리 지하보도 내에 위치한 전시실로 시민들과 더욱 가까운 곳에서 신진 작가 아마추어 예술가 작품을 선보일 수 있도록 세종문화회관이 운영해 오고 있다,광화랑,2017-05-03,2017-05-03,세종문화회관
130,148,한글실험전: 캘리그래피적 해석4,https://www.sejongpac.or.kr/cmmn/file/imageSrc.do?fileStreCours=781044a3701ef5bcc58321ebc26f8e08bb6d9ec4bb1f6894357ee3bde7a73807&streFileNm=996635e66838e12a2f4330708665d4fcd332546322f68d3b6101f1caf85f787e,세종충무공이야기 홈페이지 바로가기 한글실험전 참여작가 강병인 신동욱 고은영 김영민 문혜성 이청일 공석진 이상준 엄선철 이주선 권새라 이고은 정은희 성화숙 서우석 전지현 이선영 주최 강병인캘리그라피연구소 술통 주관 캘리그래피디자인그룹 글꽃 후원 사 한국캘리그라피디자인협회 세종문화회관 전시내용 한글실험 캘리그래피적 해석 은 한글 조형성을 실험적인 관점에서 캘리그래피를 통해 풀어낸 전시로서 한글 조형성과 아름다움 쓰임새 등을 환기할 수 있는 계기를 만드는 것을 목적으로하고 있다 전시 구성은 기존 글씨체 자체의 전시만이 아닌 창작자와 관람객에게 한글에 대한 영감과 재미를 줄 수 있는 입체적인 사고의 작품과 양방향 소통이 되는 작품 등 한글을 다양한 각도에서 조명한 실험적인 작품들로 구성되어 있다 전시를 주관한 캘리그래피디자인그룹 글꽃 은 한글과 캘리그래피를 사랑하는 다양한 분야의 크리에이터와 디자이너 캘리그래피 작가들로 구성되어 있으며 전시준비위원회의 추천을 받은 지명 작가 명이 참여하였다,세종이야기전시장,2017-04-25,2017-04-25,세종문화회관
131,199,나만의 복 주머니 만들기,,나만의 복 주머니 만들기 기간 매주 월요일 휴관 체험시간 총 회 약 시간소요 장소 충무공이야기 내 교육실 참여대상 초등학생 참가인원 회당 명 참여방법 현장구매 안내데스크 및 무인 발권기 이용 참가비 원 문의 세종충무공이야기 안내데스크 세종이야기 충무공이야기,충무공이야기전시장,2020-01-07,2020-01-07,세종문화회관
