exhibition_name,poster_link,exhibition_description,exhibition_period,exhibition_place
안녕; 어제 쓰고 오늘 보낸,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1661130998736.jpg,"
전시소개

안녕 : 어제 쓰고 오늘 보낸
편지는 시간을 담습니다. 상대를 어떻게 칭할지 고민하는 시간, 마음을 풀어낼 말을 고르는 시간, 편지가 상대에게 전해지는 시간, 답장을 기다리는 시간. 그렇게 때론 밤을 새우고 어제 쓰기 시작한 편지가 오늘 전해지기도 합니다. 힘에 부쳐 점점 무너지는 시간, 틀린 글자를 어설프게 지운 흔적, 유치하게 그려 넣은 그림에도 웃을 수 있는 이유. 그 편지가 담은 시간을 알기 때문이고 또 그 시간 속에서 느꼈을 수많은 감정의 색깔이 느껴지기 때문일 겁니다.
전시 ‘안녕; 어제 쓰고 오늘 보낸’은 현대인들이 짧은 모바일 메신저만으로는 미처 전하지 못했던 깊은 감정들을 되돌아보게 하고자 합니다. 한 글자 한 글자 적어 내려가는 과정 속에서 우리가 하나씩 만나게 되는 다채로운 감정들, 그리고 그것을 담아낸 작품들은 전시장을 들어오고 나서는 일련의 과정 동안, 마치 한 장의 편지를 읽은 듯 따뜻한 경험을 선사할 것입니다.
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 8. 26.~2022. 8. 28.,서울 | 어반플루토
낮과 밤,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1660870875354.png,"
전시소개

전시작품 총 63점
참여작가 총 15명 (구가연, 김수지, 김지선, 김현정, Ranium, 라민, moohan, 미재, 석재원, 안쥬리, 오대학, 류소진, 윤재인, 이로운, 정은실)
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 8. 22.~2022. 8. 28.,서울 | 리홀아트갤러리
죽음을 기억하는 방법_How to Remember Death,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1660263048837.jpg,"
전시소개


프로젝트21
죽음을 기억하는 것은 남은 이들의 몫
⠀
오늘날 죽음을 기억하는 의식은 편리성과 효율성에 따라 장례식장과 상조회사 등 장례 산업 체계 안에서 진행되고 있다.비슷비슷한 제단의 꽃 장식과 상차림, 규격화된 수의와 상복. 저마다 고유한 역사를 쓰며 살아온 존재들의 마지막을 이렇게 기억해야만 하는 걸까?

프로젝트21은 공예로 죽음을 기억하는 방법을 이야기하고자 한다. 여기에는 죽은 이를 위한 물건도 있고, 남은 이를 위한 물건도 있다. 어떤 물건에는 전통적 의미가 내포되어 있기도 하고, 또 어떤 것에는 작가 개인의 사연이 담겨 있기도 하다.

손품을 들여 만든, 온기와 정성이 담긴 물건들을 통해 죽음이라는 생의 완성을 조금은 다르게 기념할 수 있지 않을까?
 
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 8. 12.~2022. 8. 28.,서울 | KCDF갤러리
화가의 비망록,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1641513980862.jpg,"
전시소개



한 시대를 풍미했던 화가 박노수와 현 시대 최고의 사진가 조선희와의 만남이 돋보이는 이번 전시는 박노수 화백의 원색적이면서도 맑은 색채가 돋보이는 1980년대 작품과 더불어 사진가 조선희의 시각으로 바라본 가옥의 흔적과 기록을 사진으로 감상할 수 있는 자리입니다.
그 외 영상미가 돋보이는 다양한 영상작품, 표지화 및 삽화 등 각종자료를 살펴볼 수 있으므로 관람객 여러분의 많은 관심과 방문 부탁드립니다.
 
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2021. 10. 12.~2022. 8. 28.,서울 | 종로구립 박노수미술관
[수봉IN기획전시] 松韻(송운) - 최복수,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1661386777198.jpg,"
전시소개

늘 산책으로 일만 보 걷기를 하며 즐겨 다니는 길
그리고 그 길에서 마주치는 숲, 그 숲은 그 자리에 있지만 갈 때마다 다르다.
다름을 깨닫는 순간 나는 거기에 매료되어 숲에서 눈을 떼지 못한다.

숲에서 나는 내음, 바람에 흔들리며 나는 소리, 계절에 따라 변하는 색, 비가 오면 비 맞는 그 소리는 음악처럼 들린다.

쇼팽의 빗방울 전주곡의 피아노 소리처럼....
숲은 언제나 희망과 신선함을 선사하여 마음을 정화시켜준다.
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 8. 23.~2022. 8. 27.,인천 | 인천수봉문화회관
2022 여성발명왕 EXPO - 대한민국 세계여성발명대회 및 여성발명품박람회,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1658883041128.jpg,"
전시소개
여성발명품의 전시·홍보 기회 제공하여 판로 개척 및 브랜드 인지도 제고하고 여성기업활동 활성화에 기여
세계 여성발명·기업인들의 교류 확대 및 네트워크 구축을 통한 비즈니스 매칭 기회 제공
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 8. 25.~2022. 8. 27.,고양 | 킨텍스(KINTEX)
도시탐험자 展,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1658106877544.jpg,"
전시소개

갤러리 봄은 도시에서 즐길 수 있는 자연과 문화의 복합적인 경험을 선사하기 위해 네번째 기획전에서는  '도시 탐험자' 展을 기획하였습니다

이번 기획전시 또한 지역의 청년작가들을 발굴하여 후원하기 위한 전시로 김우솔, 이상열, 김유진, 박보미, 남소은  5명의 청년 작가들이 참여합니다.
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 7. 12.~2022. 8. 27.,대구 | 갤러리 봄(대구)
여준원 : 캘리포니아 Vol. 1,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1660874283285.jpg,"
전시소개
여준원 작가는 평범함을 좋아하고 사람들의 생활과 가족에 관심을 가지고 프로젝트를 진행하고 있다. 이번 전시 '캘리포니아 Vol. 1'은 작가가 도시 Venice의 Abbot Kinney blvd와 Venice Beach에서 일을 하며 만난 사람들, 그 주변의 풍경, 도시의 모습 등으로 구성하였다.

해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 8. 23.~2022. 8. 26.,서울 | 갤러리 지하
조혜인 : 초화,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1660872688497.jpg,"
전시소개

유일한 개별의 개인이 무의 존재로, 무명으로 바래져 되돌아가는 생의 순환. 바스러질 듯 연약하면서도 활짝 피워냄으로 생의 강한 원동력을 피력하는 존재. 계속되는 생과 사에 대한 고찰은 생명 순환이라는 자연에 빗대어 본질로 바라보게 하는 시각을 가지도록 하였습니다. 개인의 죽음과 사회상의 죽음은 하얗게 질린 그 색감들로 뿌리내려져 응어리를 대변했습니다. 
과정 속 평평한 수많은 단어 중 상실, 죽음은 더 이상 종이 위 글자가 아닌 생경한 감정이 되어 체화되었습니다. 붓질의 유영으로 드로잉적인 터치의 생동하는 회화를 표현합니다. 비물질적인 주제인 생과 사의 흔적들을 신체에 투영하던 작업에 이어 현재는 식물의 자생력을 투영하여 삶을 관철하는 작업들을 잇습니다. 식물은 나를 빗대기도 우리를 은유하기도 하는 주체이자 객체가 되어 애도와 공감을 넘어서 삶의 의지와 원동력, 자생력을 피력합니다. 
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 8. 16.~2022. 8. 22.,서울 | 갤러리 지하
올랑올랑,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1660870745267.jpg,"
전시소개

올랑올랑

새로운 언어를 배운다는 것은 다른 세계로 여행을 갈 준비를 하고 있다는 뜻입니다. 수많은 연습을 통해 다른 세계로 갈 준비를 마치고 나면, 지금과는 다른 세계를 맞이할 생각에 무척 설렐 것입니다. 하지만 낯선 다른 세계는 내 뜻대로 흘러가지 않고, 예상치 못한 일들은 계속해서 일어납니다. 낯선 세계에서 길을 잃게 될까 봐 우리 집에서만 시간을 보낸 어언 한 세월. 기쁜 날, 슬픈 날, 바쁘게 지내온 날들을 잠시 접어두고 웅크려 두었던 허리 펴 세상을 둘러봅니다. 우리 집 문은 활짝 열려 있었고, 밖에서는 수많은 사람이 내게 나와보라며 손짓을 하고 있습니다. 이제는 용기를 내어 우리 집을 벗어나 옆 동네까지 가보려고 합니다.

그리고 : 올랑올랑은 가슴이 자꾸 두근거린다는 뜻으로 노인분들이 처음으로 글자를 배울 때의 두근거림, 인생의 한 부분이 글을 통해 예술로 탄생 되었을 때의 두근거림을 표현하고자 합니다. 시니어 예술가의 문학과 청년 예술가의 작품이 만나 우리에게 전해주는 화합의 두근거림을 맘껏 느끼시길 바라며, 전시를 보러 온 모든 관객이 국가문해교육센터의 존재와 문해 교육의 필요성에 대해 생각해보는 시간을 가졌으면 합니다.
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 8. 19.~2022. 8. 21.,서울 | 어반플루토
[소마미술관] 드로잉 박스 2022,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1659059568437.png,"
전시소개


기간2022.08.05 (금) ~ 2022.08.21 (일)
장소소마미술관 1관 1~2전시실
주최·주관국민체육진흥공단 / 소마미술관
작가김병호, 김정향, 류인, 백기은, 안규철, 유혜숙, 윤지은, 최만린, 나이젤 홀 등 총18명
출품작소마미술관 소장 작가 18명의 작품 총 24점

해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 8. 5.~2022. 8. 21.,서울 | 소마미술관 1관
마을교육 공동체 전시- 우리 동네 하천 이야기,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1659486398453.jpg,"
전시소개

인천무척추동물연구회는 2013년 발족 이후로 비영리민간단체로 거듭나며, 자유 학기제 연계 하천 생태환경교육 등 다양한 활동을 진행해 왔다. ‘냇물은 흘러 흘러 바다로 간다’라는 주제로 우리 동네 하천을 이야기하며, 담수생태계와 해양생태계를 함께 생물의 다양성을 공감하고자 한다
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 8. 9.~2022. 8. 18.,인천 | 인천광역시교육청평생학습관
"정운자, 물로 쓴 시",https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1659486012771.jpg,"
전시소개

시와 회화 두 장르를 넘나들며 활동하고 있는 정운자 작가는 ‘우리 앞의 말들’이라는 주제로 말[馬]과 관련된 작품을 선보인다. 정운자 작가는 화현(化現, 보살이 중생을 교화하기 위해 여러 모습으로 변함) 하는 방식으로 끊임없이 지우고 다시 그리는 직관적인 방식으로 작업을 하고 있다.
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 8. 9.~2022. 8. 18.,인천 | 인천광역시교육청평생학습관
개화(開花)_피어나다,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1660262917477.jpg,"
전시소개

단국대학교 일반대학원 도예학과 석사 수료생 장석준의 첫 개인 전시회
 
우리는 꽃놀이를 소중한 사람들
가족, 친구 혹은 연인과 함께한 추억이 있습니다.
 
하지만 코로나19바이러스가 지속됨으로써 꽃놀이를 즐기기에는 많은 제한이 있습니다.
그렇기에 이번 전시회로 작게나마 꽃놀이를  즐길 수 있도록 시도하며, 누군가에게 소중한 추억을 드리고 싶습니다.
 
이번 전시는 달 항아리, 발, 수반, 다관과 같은 형태들에 
현대적인 색감과 전통적인 무늬를 패턴화 및 박지 기법을 사용하여
전통과 현대의 아름다움을 공존하고 있습니다.
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 8. 10.~2022. 8. 15.,서울 | KCDF갤러리
